Acetic acid,C2H4O2
Titanium tetrachloride,TiCl4
Titanium dioxide,TiO2
Titanate ion,TiO32-
Thallium(I) bromide,TlBr
Thallium(III) bromide,TlBr3
Thallium(I) formate,Tl(CHO2)
Thallium(I) acetate,TlC2H3O2
Thalliium(I) malonate,Tl(C3H3O4)
Thallium(I) chloride,TlCl
Thallium(III) chloride,TlCl3
Thallium(I) fluoride,TlF
Thallium(I) iodide,TlI
Thallium(I) iodate,TlIO3
Thallium(III) iodide,TlI3
Titanium(IV) iodide,TiI4
Titanium(IV) oxynitrate hydrate,TiO(NO3)2 Â· xH2O
Thallium(I) nitrate,TlNO3
Thallium(I) hydroxide,TlOH
Thallium(I) hexafluorophosphate,TlPF6
Thallium thiocyanate,TlSCN
Thallium(I) orthomolybdate,Tl2MoO4
Thallium(I) selenite,Tl2SeO3
Thallium(I) tellurite,Tl2TeO3
Thallium(I) orthotungstate,Tl2WO4
Thallium(I) arsenide,Tl3As
Uranium carbide,UC2
Uranium(IV) fluoride,UF4
Uranium(VI) fluoride,UF6
Uranium dioxide,UO2
Uranium trioxide,UO3
Triuranium octoxide,U3O8
Uranyl nitrate,UO2(NO3)2
Vanadium(II) bromide,VBr2
Vanadium(III) bromide,VBr3
Vanadium(II) chloride,VCl2
Vanadium(III) chloride,VCl3
Vanadium oxysulfate,VSO5
Vanadium(III) oxide,V2O3
Vanadium pentoxide,V2O5
Divanadate ion,V2O74-
Tungsten(II) bromide,WBr2
Tungsten(III) bromide,WBr3
Tungsten(IV) bromide,WBr4
Tungsten(V) bromide,WBr5
Tungsten(VI) bromide,WBr6
Tungsten(VI) carbonyl,W(CO)6
Tungsten(II) chloride,WCl2
Tungsten(III) chloride,WCl3
Tungsten(IV) chloride,WCl4
Tungsten(V) chloride,WCl5
Tungsten(VI) chloride,WCl6
Tungsten(IV) fluoride,WF4
Tungsten(V) fluoride,WF5
Tungsten(VI) fluoride,WF6
Tungsten(II) iodide,WI2
Tungsten(IV) iodide,WI4
Tungsten(V) oxytribromide,WOBr3
Tungsten(VI) oxytetrabromide,WOBr4
Tungsten(V) oxytrichloride,WOCl3
Tungsten(VI) oxytetrachloride,WOCl4
Tungsten(VI) oxytetrafluoride,WOF4
Tungsten(IV) oxide,WO2
Tungsten(VI) dioxydibromide,WO2Br2
Tungsten(VI) dioxydichloride,WO2Cl2
Tungsten(VI) dioxydiiodide,WO2I2
Tungsten(VI) oxide,WO3
Tungstate ion,WO42-
Tungsten(IV) sulfide,WS2
Tungsten(VI) sulfide,WS3
Tungsten(IV) selenide,WSe2
Tungsten(IV) telluride,WTe2
Tungsten carbide,W2C
Yttrium arsenide,YAs
Yttrium boride,YB6
Yttrium bromide,YBr3
Yttrium carbide,YC2
Yttrium chloride,YCl3
Yttrium fluoride,YF3
Yttrium phosphide,YP
Yttrium antimonide,YSb
Yttrium vanadate,YVO4
Yttria,Y2O3
Yttrium sulfide,Y2S3
Ytterbium(II) bromide,YbBr2
Ytterbium(III) bromide,YbBr3
Ytterbium(II)chloride,YbCl2
Ytterbium(III) chloride,YbCl3
Ytterbium(III) chloride hexahydrate,YbCl3Â·6H2O
Ytterbium(II) fluoride,YbF2
Ytterbium(III) fluoride,YbF3
Ytterbium(II) iodide,YbI2
Ytterbium(III) iodide,YbI3
Ytterbium(II) selenide,YbSe
Ytterbium(II) silicide,YbSi2
Ytterbium(III) oxide,Yb2O3
Ytterbium(III) sulfide,Yb2S3
Ytterbium(III) selenide,Yb2Se3
Ytterbium(II) telluride,YbTe
Zinc aluminate,Zn(AlO2)2
Zinc arsenite,Zn(AsO2)2
Zinc bromide,ZnBr2
Zinc cyanide,Zn(CN)2
Zinc carbonate,ZnCO3
Zinc caprylate,Zn(C8H15O2)2
Zinc chlorate,Zn(ClO3)2
Zinc chloride,ZnCl2
Zinc chromite,ZnCr2O4
Zinc fluoride,ZnF2
Zinc iodate,Zn(IO3)2
Zinc iodide,ZnI2
Zinc orthomolybdate,ZnMoO4
Zinc nitrite,Zn(NO2)2
Zinc nitrate,Zn(NO3)2
Zinc metaniobate,Zn(NbO3)2
Zinc(II) oxide,ZnO
Zinc peroxide,ZnO2
Zinc hydroxide,Zn(OH)2
Zincate ion,Zn(OH)42-
Zinc sulfide,ZnS
Zinc thiocyanate,Zn(SCN)2
Zinc sulfate,ZnSO4
Zinc antimonide,ZnSb
Zinc selenide,ZnSe
Zinc selenite,ZnSeO3
Zinc stannate,ZnSnO3
Zinc metatantalate,Zn(TaO3)2
Zinc telluride,ZnTe
Zinc tellurite,ZnTeO3
Zinc tellurate,ZnTeO4
Zinc metatitanate,ZnTiO3
Zinc metavanadate,Zn(VO3)2
Zinc orthotungstate,ZnWO4
Zinc metazirconate,ZnZrO3
Zinc pyrophosphate,Zn2P2O7
Zinc orthosilicate,Zn2SiO4
Zinc arsenate,Zn3(AsO4)2
Zinc arsenide,Zn3As2
Zinc nitride,Zn3N2
Zinc phosphide,Zn3P2
Zinc phosphate,Zn3(PO4)2
Zinc antimonide,Zn3Sb2
Zirconium boride,ZrB2
Zirconium bromide,ZrBr4
Zirconium carbide,ZrC
Zirconium tetrachloride,ZrCl4
Zirconium fluoride,ZrF4
Zirconium iodide,ZrI4
Zirconium nitride,ZrN
Zirconium hydroxide,Zr(OH)4
Zirconium dioxide,ZrO2
Zirconate ion,ZrO32-
Zirconium phosphide,ZrP2
Zirconium sulfide,ZrS2
Zirconium silicide,ZrSi2
Zirconium orthosilicate,ZrSiO4
Zirconium phosphate,Zr3(PO4)4
